
------------------------------------------------
INFORMATION ON DATA
------------------------------------------------

Read records for 386 species (21170 unique points total plus 33 clades)

TOTAL RECORDS/CELL (78 ROWS x 78 COLS):
row\col     0      1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77 
 10         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      1      3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 11         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 12         0      0      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 13         0      1      4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 14         0      0      0      1      1      0      0      0      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 15         1      0      0      4      2      0      0      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 16         1      1      0      2     12      6      0      0      0      0      1      6      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      6      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 17         0      0      0      0      0      7      1      0      0      0      3     15      9      4      0      0      0      0      0      0      0      0      0      0      0      0      1     11     13      1      8      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 18         0      0      0      0      3      5      9      0      0      0      1     15     10     14      0      0      0      0      0      0      0     15     11      3      3      0      4      1      1      0      0      3      0      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 19         0      0      0      0      0      4      3      0      0      1      2      2      4      4      3      0      0      0      0      0      5     31     39     27     18      0      0      0      0      0      0      0      0      1      5     12      0      0      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 20         0      0      0      0      0     17     34      9      2      1      4      1      4      3     67      0      0      0      0      0     22      4     23      2      0      0      0      0      0      0      0      0      0      0      2      0      0      4      5      4      6      9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 21         0      0      0      0      0      0      0     13      1      5     15     17      3      5     20     74     13      8      7      8     13     26     52      0      0      0      0      0      0      0      0      0      0      5      4      0      1      1      3     10     12     10      4      4     32     18     17      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 22         0      0      0      0      0      0      0      0      2      8      8      5      1     10     19      9     49     12     23     15      2     62     71      0      0      0      0      0      0      0      0      0      0      2      1      0      0      0      0      3      0      0      0      4     11      0     10      1      2      3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 23         0      0      0      0      0      0      0      0      0      0      0     12      5      9      3     36     23     60     46     22     23     86     81      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 24         0      0      0      0      0      0      0      0      0      0      0      0      0      2      9      2      0      3     30      8      9     17     32     14      3      8      6      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     18      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 25         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      3     16     18     13     39     12      1      9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      2      9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 26         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      5     34      5     12     69     22     48      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      6      4      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 27         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     13    150     88     10      2      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0      0      0      0      0      0      0      5      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 28         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     83    100     52     32      0      0      0      0      0      0      0      0     68     22     34      2      1     21      3      0      0      0      2      2      0      0      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 29         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0    263    179     74      0      0      0      0      0      0      0     71    113     38     78     52     41     49     82    112    153     47     46     30     12     46      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 30         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     19    147     43     47      0     12    307    111      1      0     86     17     27     35     12     31     83     20     31     15      3     14     17     11     10      4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 31         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     99     36     22     46     99     67     87     16     29     17     11     23     19     37     17      4     28      1      4     15     14     64     50     21      9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 32         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     23      0     27     95     33     21      7     35     42     57      4      7      6     18     31     20     27     30     51     55      2      3      6      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 33         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     21     18     19     23     47      3      0      0      3      6     62     17     19     34     57     28     69      4      9     23      7      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 34         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1     15     11     39      1      1      0      0      0      4     79     41     11     22     18     18     21     25     10     23     26      6     50     43     83     12      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 35         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     19     25     11     56     17      6      1      2      3      0     46     10      1     16      5      5     29      0     23      8     31     17     12     13     25    108      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 36         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     12     19      7      7     17      0      0      0      1      0     30     15     44      5      3      3     47      3     36      4      8     31      1      7     90     32     23      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 37         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      4      3      7      9     22      4      1      0      0      0     11     26     17      4      2      0     11     14      9      0      0      1      2     18      5     14      9      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 38         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      2     15      4      3     23      5      0      9      3     16      0      1     53     32      7      0      0     13      6     13      0      3      2      0      0      0      4     13      7      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 39         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1     24      5      1     16      3      1      0      2     11      5      8      2     15     46      3      0      9      0      2      0      0      0      0      0      1      0      1      6     15      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 40         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      3     26      3     70    112     43      4      3     56      1      7      0      0      2      6      5      3      1     12      5      0      1      1      0      0      0     18      0      5     16     13     12      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 41         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     35     41      4     47     20     10      1      0      1      7      1     13      0      2      1     11      0      2      2     15      6     11      3      2      1     44     13      1     38     39     11      9     51     56     17      6      1      0      0      0      0      0      0      0      0      0      0      0 
 42         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     30     29      7      9     74      9      1     13     13      3      1      1      0      2      1      8      1      0      0      1     72    101     11     14     13      1     68      0      0     14      8      0      4     18      2      3      9      1      1      4      2      0      0      0      0      0      0      0 
 43         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     15     18     16     20     26     16      5    306    126     25     47      9     13      1      6      2     19      1      1     21     34      9      8      7      0      5      3      0     18      6     14     23      1     17      6      8      3      0      2     16     15      1     16      0      0      0      0      0 
 44         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      8     18     32     24      5      2      6     86     20      0      8     36      1      0      1      0      0      2      1      0      1      7      4      2      7      8      0      0      0      0      1     15      2      6      2     27      5      8      7      5     16      3     20      2      0      0      0      0 
 45         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      5     20     12     43      5     27      2      2      0     27      0      0      0      0      0      0      0      0      0      1      0      0      0      0      1      0      0      0      0     10      5      5      7      1      5      8      6      4      3      4      2      3      2      1      4      0      0 
 46         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      4      5     89     10      4      7      0      0      1      0      0      0      0      0      0      0      6      1      0      2      1      0      0      2      0      0      0      1     19      1      0      3      0      4      2      6      9      1      5      4      2      1      1     11      0      0 
 47         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0     40     10      0      1      6      0      4      1      0      0      1      0     14     10     22      1      8      3      6     35      0      1      0      0      0     28      0      0      3      1      0     16      4      1      5      2     30     42     10      1      4     11      5      0 
 48         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     58     66     77     25     10      2      3      1      0     10      0      2      1     38      1      1      0      1      1      0      0      5     10      0      0      0      3      2      1      1      0      0      1      2     14      1      1      5      4     16      4     14      5      0 
 49         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     12     31     17      1      3      0      0      6     14     38      1     27     12     13      0      0      0      1      1      0      4      3      4      0      0      1      2      0      0      0      0      1      1      3     15      3      7      1      7      0      3      2      0      0 
 50         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      2     75     13      0      0      0      6      4     14     34     66     37      1     16      7      5      0      9      1      1      1      0      0      0      0      3      2      0      1      2      6      1      0      2      9     21     10      7      7      0      2      0      0      0 
 51         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      3     36      5      2      7     54     11     36     16     17     65     13      0      0      0      7      0      0      1      0      1      4      0      0      7      8      5      0      0      4      1      7      1      7     10      9     15      6      1      0      0      0      0      0 
 52         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      2      1      3     35     68     18    266     11     14      2      0      5      3      0      1     19      1      1      0      0      1      0      0      7     28      1      0      0      2      6     17     23      3      8     46     17     21      7      2      0      0      0      0 
 53         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      5      7     12     85     74      6      1      0      1      0      0     34     58      1      1      0      2      0      1      0     10     14      0      5      4      8      3      1      6     17     10     65     43     18      2      0      0      0      0      0 
 54         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      2      1      0      4     42    132     49      4     16     15     47    136    103      3      0      1     18      2      4      0      8      3      2      3     16     31      8      0      3      5     42      6     28     55      7      0      0      0      0      0 
 55         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     22     89     12      1      7     10      6     17      3      5      1      5     24     14      1      0      8      1      9      4     21    108      0      3     17      8      6     11     12     42      7      0      0      0      0      0 
 56         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4     58      0      7      5     13     12     57     17      0      2     12     10      8      6      2      0      5      0      6     16     25      2      1      2      9     27     20     12     52      0      0      0      0      0      0 
 57         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1     25    145     33     28      8     10      5      5      3      1      2      4      3      9      2      6     17      5     16      2     26     11      7     20      7     32      0      0      0      0      0      0 
 58         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      2      0      1      4     45     11      4      4     43      2     15      1      0      2      0      6      1      4     21     15      8     13      3     13     40      1      1     34     15      0      0      0      0      0      0 
 59         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      2     17     10      3     13      0      1     29      9      2      2      1      0      0      1      5      4     10      4      0     22    116     70     29    166     50      0      0      0      0      0      0 
 60         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      2     11      7      1     13      0      1      1      2      8      6      2      4     10      2      8      7      7     17      6     10     40     57     29     43      0      0      0      0      0      0      0 
 61         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      9     12      2      6      0      1      0     12      4      1      4      1      4      2      9      0     14     34     50     18     26     57     45     19      5      0      0      0      0      0      0      0 
 62         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     13     10      1      1      7      5      1     10     41     25      4      5     18      7     13     16     44    176     44     12     34    225    126     31      0      0      0      0      0      0      0      0 
 63         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4     29      6      1      0      3      1      1     14     24     20      7     10     15     37     11     20     22     33    105     48     19     18      0      0      0      0      0      0      0      0      0      0 
 64         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     19     25      0      0      0      1      1     14      7     26     29     25      4      5      4     12     33     13     36      3      0      0      0      0      0      0      0      0      0      0      0      0      0 
 65         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      6      0      0      0      0      6      3    269    123      8     47      9      9      3     16     33     54      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 66         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     15      8      0      0      0      2      0      5      2     65     21     20      8      7      4      6      1     10      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 67         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1     14      6      0      0      4      2      4     44     11     27     72     13     20     10      7      7     14     13      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 68         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      3      1      0      0      0      0      3      4      1      8     19     10      6      0      1      2      9      4      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 69         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      1      5      1      0      0      2      8      4      5      0      0      3      2     18     11      5      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 70         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      1      0      6      1      0      0      0      2      1      9      0      0      1      0      0     11      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 71         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      9      0      0      0      2      1      3      2      1      3      1      0      6      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 72         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      3      2      1      0      0      1      0      5      0      0      0      0      3      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 73         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      2      1      1      0      2      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 74         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      6      5      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 75         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 76         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 77         0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 

NUMBER OF SPECIES/CELL (78 ROWS x 78 COLS):
row\col     0      1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77 
 0          0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 1          0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      0      0      1      0      0      1      0      0      0      0      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 2          0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      1      1      1      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 3          0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      1      1      1      1      1      1      0      0      0      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
 4          0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1      1      0      0      0      1      0      1      1      1      0      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
